Team,First Name,Last Name,Salary,Position,,,Salary,,,,,,,,,,,,,Salary
New York Yankees,Juan,Acevedo,"900,000",Pitcher,,,"11,500,000",,,,,,,,,,,,,"11,500,000"
New York Yankees,Jason,Anderson,"300,000",Pitcher,,,"302,500",,,,,,,,,,,,,"302,500"
New York Yankees,Roger,Clemens,"10,100,000",Pitcher,,,"325,000",,,,,,,,,,,,,"325,000"
New York Yankees,Jose,Contreras,"5,500,000",Pitcher,,,"315,000",,,,,,,,,,,,,"315,000"
New York Yankees,John,Flaherty,"750,000",Catcher,,,"2,266,667",,,,,,,,,,,,,"2,266,667"
New York Yankees,Jason,Giambi,"11,428,571",First Baseman,,,"7,833,333",,,,,,,,,,,,,"7,833,333"
New York Yankees,Chris,Hammond,"2,200,000",Pitcher,,,"312,500",,,,,,,,,,,,,"312,500"
New York Yankees,Sterling,Hitchcock,"6,000,000",Pitcher,,,"1,425,000",,,,,,,,,,,,,"1,425,000"
New York Yankees,Derek,Jeter,"15,600,000",Shortstop,,,"8,166,667",,,,,,,,,,,,,"8,166,667"
New York Yankees,Nick,Johnson,"364,100",First Baseman,,,"305,000",,,,,,,,,,,,,"305,000"
New York Yankees,Steve,Karsay,"5,000,000",Pitcher,,,"3,875,000",,,,,,,,,,,,,"3,875,000"
New York Yankees,Chris,Latham,"400,000",Outfielder,,,"375,000",,,,,,,,,,,,,"375,000"
New York Yankees,Jon,Liever,"550,000",Pitcher,,,"302,500",,,,,,,,,,,,,"302,500"
New York Yankees,Hideki,Matsui,"6,000,000",Outfielder,,,"304,000",,,,,,,,,,,,,"304,000"
New York Yankees,Raul,Mondesi,"13,000,000",Outfielder,,,"331,000",,,,,,,,,,,,,"331,000"
New York Yankees,Mike,Mussina,"12,000,000",Pitcher,,,"316,000",,,,,,,,,,,,,"316,000"
New York Yankees,Antonio,Osuna,"2,400,000",Pitcher,,,"6,000,000",,,,,,,,,,,,,"6,000,000"
New York Yankees,Andy,Pettitte,"11,500,000",Pitcher,,,"750,000",,,,,,,,,,,,,"750,000"
New York Yankees,Jorge,Posada,"8,000,000",Catcher,,,"2,700,000",,,,,,,,,,,,,"2,700,000"
New York Yankees,Mariano,Rivera,"10,500,000",Pitcher,,,"335,000",,,,,,,,,,,,,"335,000"
